0°
Ax: 0.01 | Ay: 0.00 | Az: 0.98
Ax: 0.01 | Ay: -0.01 | Az: 0.99
Ax: 0.01 | Ay: 0.01 | Az: 0.99
Ax: 0.02 | Ay: -0.01 | Az: 0.99
Ax: 0.02 | Ay: 0.01 | Az: 0.99
Ax: 0.01 | Ay: -0.00 | Az: 0.98
Ax: 0.02 | Ay: -0.01 | Az: 0.98
Ax: 0.02 | Ay: 0.01 | Az: 0.99
Ax: 0.02 | Ay: 0.00 | Az: 0.99
Ax: 0.01 | Ay: -0.01 | Az: 0.97
Ax: 0.01 | Ay: 0.00 | Az: 0.97
Ax: 0.02 | Ay: -0.00 | Az: 0.98
Ax: 0.01 | Ay: -0.00 | Az: 0.98
Ax: 0.02 | Ay: 0.01 | Az: 0.99

10° em y
Ax: 0.03 | Ay: 0.17 | Az: 0.96
Ax: 0.03 | Ay: 0.17 | Az: 0.97
Ax: 0.03 | Ay: 0.17 | Az: 0.97
Ax: 0.04 | Ay: 0.17 | Az: 0.97
Ax: 0.03 | Ay: 0.17 | Az: 0.96
Ax: 0.04 | Ay: 0.17 | Az: 0.97
Ax: 0.03 | Ay: 0.17 | Az: 0.97
Ax: 0.03 | Ay: 0.17 | Az: 0.98
Ax: 0.03 | Ay: 0.17 | Az: 0.97
Ax: 0.04 | Ay: 0.17 | Az: 0.97
Ax: 0.03 | Ay: 0.17 | Az: 0.98
Ax: 0.04 | Ay: 0.16 | Az: 0.97

20° em y
Ax: 0.03 | Ay: 0.35 | Az: 0.91
Ax: 0.02 | Ay: 0.35 | Az: 0.91
Ax: 0.03 | Ay: 0.35 | Az: 0.93
Ax: 0.03 | Ay: 0.35 | Az: 0.91
Ax: 0.03 | Ay: 0.34 | Az: 0.93
Ax: 0.03 | Ay: 0.34 | Az: 0.91
Ax: 0.02 | Ay: 0.35 | Az: 0.92
Ax: 0.04 | Ay: 0.35 | Az: 0.93
Ax: 0.03 | Ay: 0.34 | Az: 0.92
Ax: 0.03 | Ay: 0.34 | Az: 0.92
Ax: 0.04 | Ay: 0.34 | Az: 0.93
Ax: 0.03 | Ay: 0.34 | Az: 0.92
Ax: 0.02 | Ay: 0.34 | Az: 0.93
