Ângulo 0°
Ax: -0.03 | Ay: -0.03 | Az: 0.93
Ax: -0.03 | Ay: -0.04 | Az: 0.92
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.05 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.03 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.92
Ax: -0.04 | Ay: -0.03 | Az: 0.94
Ax: -0.04 | Ay: -0.04 | Az: 0.92
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.92
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.04 | Az: 0.92
Ax: -0.03 | Ay: -0.02 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.94
Ax: -0.04 | Ay: -0.04 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.93
Ax: -0.04 | Ay: -0.04 | Az: 0.93
Ax: -0.03 | Ay: -0.04 | Az: 0.93
Ax: -0.04 | Ay: -0.03 | Az: 0.94
Ax: -0.07 | Ay: -0.20 | Az: 0.69
Ax: -0.16 | Ay: -0.04 | Az: 0.95
Ax: -0.04 | Ay: -0.02 | Az: 0.91
Ax: 0.05 | Ay: -0.03 | Az: 0.90
Ax: -0.05 | Ay: -0.06 | Az: 0.96
Ax: -0.04 | Ay: -0.00 | Az: 0.94
Ax: -0.07 | Ay: -0.03 | Az: 0.94
Ax: -0.11 | Ay: -0.05 | Az: 1.09
Ax: -0.10 | Ay: -0.14 | Az: 0.95
Ax: -0.03 | Ay: -0.03 | Az: 0.90

10° em y
Ax: 0.04 | Ay: 0.20 | Az: 0.90
Ax: 0.05 | Ay: 0.18 | Az: 0.91
Ax: 0.05 | Ay: 0.19 | Az: 0.92
Ax: 0.05 | Ay: 0.19 | Az: 0.91
Ax: 0.04 | Ay: 0.19 | Az: 0.92
Ax: 0.05 | Ay: 0.19 | Az: 0.91
Ax: 0.05 | Ay: 0.19 | Az: 0.92
Ax: 0.03 | Ay: 0.18 | Az: 0.91
Ax: 0.04 | Ay: 0.19 | Az: 0.92

20° em y
Ax: 0.05 | Ay: 0.35 | Az: 0.87
Ax: 0.05 | Ay: 0.37 | Az: 0.86
Ax: 0.05 | Ay: 0.36 | Az: 0.85
Ax: 0.05 | Ay: 0.35 | Az: 0.86
