0°
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.01 | Ay: 0.06 | Az: 0.99
Ax: 0.01 | Ay: 0.06 | Az: 0.97
Ax: 0.02 | Ay: 0.05 | Az: 0.99
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.01 | Ay: 0.05 | Az: 0.97
Ax: 0.01 | Ay: 0.05 | Az: 0.98
Ax: 0.02 | Ay: 0.05 | Az: 0.98
Ax: 0.01 | Ay: 0.05 | Az: 0.98
Ax: 0.02 | Ay: 0.06 | Az: 0.97
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.02 | Ay: 0.06 | Az: 0.97
Ax: 0.01 | Ay: 0.05 | Az: 0.98
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.02 | Ay: 0.05 | Az: 0.98
Ax: 0.02 | Ay: 0.05 | Az: 0.97
Ax: 0.02 | Ay: 0.06 | Az: 0.98

10° em y
Ax: 0.04 | Ay: 0.21 | Az: 0.95
Ax: 0.05 | Ay: 0.21 | Az: 0.95
Ax: 0.05 | Ay: 0.21 | Az: 0.96
Ax: 0.06 | Ay: 0.21 | Az: 0.96
Ax: 0.05 | Ay: 0.21 | Az: 0.96
Ax: 0.06 | Ay: 0.21 | Az: 0.96
Ax: 0.05 | Ay: 0.21 | Az: 0.97
Ax: 0.05 | Ay: 0.22 | Az: 0.96
Ax: 0.05 | Ay: 0.21 | Az: 0.96
Ax: 0.04 | Ay: 0.21 | Az: 0.96
Ax: 0.05 | Ay: 0.21 | Az: 0.95
Ax: 0.05 | Ay: 0.21 | Az: 0.96
Ax: 0.05 | Ay: 0.22 | Az: 0.97
Ax: 0.05 | Ay: 0.21 | Az: 0.97
Ax: 0.05 | Ay: 0.21 | Az: 0.97
Ax: 0.05 | Ay: 0.21 | Az: 0.95
Ax: 0.05 | Ay: 0.21 | Az: 0.96

20° em y
Ax: 0.02 | Ay: 0.34 | Az: 0.91
Ax: 0.02 | Ay: 0.34 | Az: 0.94
Ax: 0.02 | Ay: 0.34 | Az: 0.92
Ax: 0.01 | Ay: 0.33 | Az: 0.91
Ax: 0.02 | Ay: 0.32 | Az: 0.92
Ax: 0.01 | Ay: 0.33 | Az: 0.92
Ax: 0.02 | Ay: 0.33 | Az: 0.92
Ax: 0.03 | Ay: 0.43 | Az: 0.91
Ax: 0.02 | Ay: 0.32 | Az: 0.93
Ax: 0.02 | Ay: 0.32 | Az: 0.93
Ax: 0.02 | Ay: 0.32 | Az: 0.92
Ax: 0.01 | Ay: 0.33 | Az: 0.92
Ax: 0.01 | Ay: 0.33 | Az: 0.92
Ax: 0.02 | Ay: 0.32 | Az: 0.92
Ax: 0.02 | Ay: 0.33 | Az: 0.92

30° em y
Ax: 0.06 | Ay: 0.50 | Az: 0.84
Ax: 0.07 | Ay: 0.51 | Az: 0.84
Ax: 0.07 | Ay: 0.51 | Az: 0.84
Ax: 0.06 | Ay: 0.50 | Az: 0.84
Ax: 0.06 | Ay: 0.50 | Az: 0.85
Ax: 0.07 | Ay: 0.51 | Az: 0.86
Ax: 0.07 | Ay: 0.50 | Az: 0.85
Ax: 0.07 | Ay: 0.51 | Az: 0.84
Ax: 0.06 | Ay: 0.50 | Az: 0.85
Ax: 0.06 | Ay: 0.50 | Az: 0.85
Ax: 0.09 | Ay: 0.51 | Az: 0.85
Ax: 0.07 | Ay: 0.50 | Az: 0.85
Ax: 0.07 | Ay: 0.50 | Az: 0.83
Ax: 0.07 | Ay: 0.51 | Az: 0.84
Ax: 0.07 | Ay: 0.49 | Az: 0.84

40° em y
Ax: 0.09 | Ay: 0.64 | Az: 0.75
Ax: 0.08 | Ay: 0.64 | Az: 0.75
Ax: 0.09 | Ay: 0.64 | Az: 0.75
Ax: 0.08 | Ay: 0.63 | Az: 0.75
Ax: 0.08 | Ay: 0.64 | Az: 0.75
Ax: 0.08 | Ay: 0.63 | Az: 0.75
Ax: 0.09 | Ay: 0.64 | Az: 0.74
Ax: 0.08 | Ay: 0.64 | Az: 0.74
Ax: 0.08 | Ay: 0.63 | Az: 0.74
Ax: 0.08 | Ay: 0.64 | Az: 0.75
Ax: 0.09 | Ay: 0.63 | Az: 0.75
Ax: 0.08 | Ay: 0.64 | Az: 0.74
